Ro	Time	E_SvFs	E
0.0	2.8	0.776345591755	0.776345591755
0.02	2.8	0.781150000365	0.781150000365
0.04	2.8	0.782875435467	0.782875435467
0.06	2.8	0.786123500105	0.786123500105
0.08	2.8	0.788565638254	0.788565638254
0.1	2.8	0.791752715538	0.791752715538
0.12	2.8	0.794688243777	0.794688243777
0.14	2.8	0.798377040735	0.798377040735
0.16	2.8	0.800970825719	0.800970825719
0.18	2.8	0.805310000375	0.805310000375
0.2	2.8	0.804655138631	0.804655138631
0.22	2.8	0.805651578096	0.805651578096
0.24	2.8	0.805424668397	0.805424668397
0.26	2.8	0.80561751279	0.80561751279
0.28	2.8	0.805406944094	0.805406944094
0.3	2.8	0.805053352548	0.805053352548
0.32	2.8	0.804358030356	0.804358030356
0.34	2.8	0.803333227127	0.803333227127
0.36	2.8	0.801904245239	0.801904245239
0.38	2.8	0.800039369813	0.800039369813
0.4	2.8	0.797690043234	0.797690043234
0.42	2.8	0.794816798074	0.794816798074
0.44	2.8	0.791374973967	0.791374973967
0.46	2.8	0.787322677189	0.787322677189
0.48	2.8	0.782609360989	0.782609360989
0.5	2.8	0.777193514485	0.777193514485
0.52	2.8	0.771001269714	0.771001269714
0.54	2.8	0.764012929972	0.764012929972
0.56	2.8	0.75606406611	0.75606406611
0.58	2.8	0.747284312124	0.747284312124
0.6	2.8	0.737094377701	0.737094377701
0.62	2.8	0.726482574782	0.726482574782
0.64	2.8	0.712669647318	0.712669647318
0.66	2.8	0.701718293154	0.701718293154
0.68	2.8	0.676150000432	0.676150000432
0.7	2.8	0.685203671165	0.685203671165
0.72	2.8	0.679695156912	0.679695156912
0.74	2.8	0.67716634476	0.67716634476
0.76	2.8	0.671597520843	0.671597520843
0.78	2.8	0.665861234681	0.665861234681
0.8	2.8	0.658955931255	0.658955931255
0.82	2.8	0.651686415756	0.651686415756
0.84	2.8	0.643625523492	0.643625523492
0.86	2.8	0.63577006113	0.63577006113
0.88	2.8	0.626452579401	0.626452579401
0.9	2.8	0.619329340369	0.619329340369
0.92	2.8	0.606308950449	0.606308950449
0.94	2.8	0.593051049169	0.593051049169
0.96	2.8	0.580071656896	0.580071656896
0.98	2.8	0.560652158163	0.560652158163
1.0	2.8	0.54449290946	0.54449290946
0.0	2.801	0.775536684538	0.775536684538
0.02	2.801	0.781739999455	0.781739999455
0.04	2.801	0.782064395848	0.782064395848
0.06	2.801	0.785113523416	0.785113523416
0.08	2.801	0.787813073243	0.787813073243
0.1	2.801	0.790924048613	0.790924048613
0.12	2.801	0.793939655355	0.793939655355
0.14	2.801	0.797354976617	0.797354976617
0.16	2.801	0.800184517792	0.800184517792
0.18	2.801	0.805919999429	0.805919999429
0.2	2.801	0.803977066186	0.803977066186
0.22	2.801	0.804855053867	0.804855053867
0.24	2.801	0.805009555903	0.805009555903
0.26	2.801	0.80528368304	0.80528368304
0.28	2.801	0.805236176825	0.805236176825
0.3	2.801	0.804982932255	0.804982932255
0.32	2.801	0.804395816041	0.804395816041
0.34	2.801	0.803463136542	0.803463136542
0.36	2.801	0.802124515799	0.802124515799
0.38	2.801	0.800345554321	0.800345554321
0.4	2.801	0.798082201899	0.798082201899
0.42	2.801	0.795296276558	0.795296276558
0.44	2.801	0.791946327451	0.791946327451
0.46	2.801	0.787992559506	0.787992559506
0.48	2.801	0.783389089013	0.783389089013
0.5	2.801	0.778095581625	0.778095581625
0.52	2.801	0.772049265478	0.772049265478
0.54	2.801	0.765222942964	0.765222942964
0.56	2.801	0.757490499763	0.757490499763
0.58	2.801	0.748923971695	0.748923971695
0.6	2.801	0.739112807373	0.739112807373
0.62	2.801	0.728713936002	0.728713936002
0.64	2.801	0.715885326906	0.715885326906
0.66	2.801	0.704603776677	0.704603776677
0.68	2.801	0.686819999656	0.686819999656
0.7	2.801	0.687632023878	0.687632023878
0.72	2.801	0.681996608551	0.681996608551
0.74	2.801	0.678024045936	0.678024045936
0.76	2.801	0.671786118761	0.671786118761
0.78	2.801	0.665208623318	0.665208623318
0.8	2.801	0.65765250003	0.65765250003
0.82	2.801	0.649706687926	0.649706687926
0.84	2.801	0.641161456263	0.641161456263
0.86	2.801	0.632721277461	0.632721277461
0.88	2.801	0.623625537783	0.623625537783
0.9	2.801	0.616008685701	0.616008685701
0.92	2.801	0.6071416592	0.6071416592
0.94	2.801	0.593638344101	0.593638344101
0.96	2.801	0.57585902068	0.57585902068
0.98	2.801	0.556581700441	0.556581700441
1.0	2.801	0.539368385525	0.539368385525
0.0	2.802	0.774729537847	0.774729537847
0.02	2.802	0.778879999362	0.778879999362
0.04	2.802	0.781255709295	0.781255709295
