Ro	Time	T_SvFs	T
0.02	2.8	3.61403485224	3.62849
0.19	2.8	3.42282877109	3.4345
0.28	2.8	3.06966871259	3.06689
0.36	2.8	2.74035606738	2.7468
0.43	2.8	2.38752903588	2.38334
0.58	2.8	1.79197657493	1.81432
0.64	2.8	1.45882137058	1.4405
0.7	2.8	1.20822896484	1.22813
1.0	2.8	0.00112459852343	0.0
0.02	2.801	3.63848654192	3.63923
0.19	2.801	3.44729367491	3.44615
0.28	2.801	3.08760319822	3.08128
0.36	2.801	2.7565341718	2.76239
0.43	2.801	2.39552604666	2.39923
0.58	2.801	1.794874058	1.80985
0.64	2.801	1.45811483079	1.43869
0.7	2.801	1.21273237324	1.22381
1.0	2.801	0.000735654501477	0.0
0.02	2.802	3.66429337354	3.65274
0.19	2.802	3.47227741872	3.47203
0.28	2.802	3.1061654322	3.08803
0.36	2.802	2.77283404965	2.78695
0.43	2.802	2.40424059304	2.40653
0.58	2.802	1.7985571673	1.81118
0.64	2.802	1.45830920171	1.43978
0.7	2.802	1.21752569792	1.22198
1.0	2.802	9.46834805724e-05	0.0
0.02	2.803	3.69107211987	3.68481
0.19	2.803	3.49762423916	3.49787
0.28	2.803	3.12525935479	3.1076
0.36	2.803	2.78932292918	2.79435
0.43	2.803	2.41359444666	2.40689
0.58	2.803	1.80262244834	1.81255
0.64	2.803	1.45909706629	1.44552
0.7	2.803	1.22234758581	1.22447
1.0	2.803	-0.000185475458586	0.0
0.02	2.804	3.71877784814	3.71384
0.19	2.804	3.52345946112	3.52893
0.28	2.804	3.14497753322	3.12827
0.36	2.804	2.80600645422	2.80329
0.43	2.804	2.42352850089	2.4137
0.58	2.804	1.80723440155	1.81255
0.64	2.804	1.46071328608	1.44185
0.7	2.804	1.22745600238	1.22761
1.0	2.804	-0.000380580269099	0.0
0.02	2.805	3.74707936972	3.74719
0.19	2.805	3.54959686814	3.55954
0.28	2.805	3.16513125059	3.14911
0.36	2.805	2.82290082767	2.82041
0.43	2.805	2.43393684375	2.42384
0.58	2.805	1.81206880403	1.8162
0.64	2.805	1.46278651557	1.44816
0.7	2.805	1.23259423829	1.23012
1.0	2.805	-0.000437716274922	0.0
0.02	2.806	3.77596480076	3.77411
0.19	2.806	3.57607168126	3.5875
0.28	2.806	3.18575306887	3.18167
0.36	2.806	2.83988171671	2.8403
0.43	2.806	2.44471275267	2.43346
0.58	2.806	1.81727004993	1.8213
0.64	2.806	1.46552114922	1.45269
0.7	2.806	1.2379649103	1.23747
