Ro	T0_SvFs	T0
0.0	3.63897337567	3.63897337567
0.02	3.64000001668	3.64000001668
0.04	3.64102665768	3.64102665768
0.06	3.63994813655	3.63994813655
0.08	3.63465929113	3.63465929113
0.1	3.62305495927	3.62305495927
0.12	3.60302997885	3.60302997885
0.14	3.57247918771	3.57247918771
0.16	3.52929742371	3.52929742371
0.18	3.4713795247	3.4713795247
0.2	3.39662032856	3.39662032856
0.22	3.30754576613	3.30754576613
0.24	3.21131286129	3.21131286129
0.26	3.11507863793	3.11507863793
0.28	3.02600011992	3.02600011992
0.3	2.95123433113	2.95123433113
0.32	2.88279992298	2.88279992298
0.34	2.81271554689	2.81271554689
0.36	2.73299985427	2.73299985427
0.38	2.63567149655	2.63567149655
0.4	2.53114569041	2.53114569041
0.42	2.42983765253	2.42983765253
0.44	2.3421625996	2.3421625996
0.46	2.27057832544	2.27057832544
0.48	2.20958520098	2.20958520098
0.5	2.1536835972	2.1536835972
0.52	2.09737388504	2.09737388504
0.54	2.03515643546	2.03515643546
0.56	1.96153161941	1.96153161941
0.58	1.87099980784	1.87099980784
0.6	1.7580613717	1.7580613717
0.62	1.64147522776	1.64147522776
0.64	1.54000029276	1.54000029276
0.66	1.47239548346	1.47239548346
0.68	1.42046169122	1.42046169122
0.7	1.36599980742	1.36599980742
0.72	1.29081072343	1.29081072343
0.74	1.20100641758	1.20100641758
0.76	1.10269886823	1.10269886823
0.78	1.00200005371	1.00200005371
0.8	0.905021952382	0.905021952382
0.82	0.811095681733	0.811095681733
0.84	0.719552359269	0.719552359269
0.86	0.62972310249	0.62972310249
0.88	0.540939028898	0.540939028898
0.9	0.452531255995	0.452531255995
0.92	0.36383090128	0.36383090128
0.94	0.274169082257	0.274169082257
0.96	0.183396487036	0.183396487036
0.98	0.0918833743506	0.0918833743506
1.0	2.93297741649e-09	2.93297741649e-09
