Ro	Time	E_SvFs	E
0.02	2.8	0.781150000365	0.78115
0.18	2.8	0.805310000375	0.80531
0.68	2.8	0.676150000432	0.67615
0.93	2.8	0.599679999809	0.59968
0.02	2.801	0.781739999455	0.78174
0.18	2.801	0.805919999429	0.80592
0.68	2.801	0.686819999656	0.68682
0.93	2.801	0.600390001651	0.60039
0.02	2.802	0.778879999362	0.77888
0.18	2.802	0.802969999339	0.80297
0.68	2.802	0.693779999692	0.69378
0.93	2.802	0.602249998003	0.60225
0.02	2.803	0.774180001536	0.77418
0.18	2.803	0.798120001598	0.79812
0.68	2.803	0.696709999805	0.69671
0.93	2.803	0.598779999813	0.59878
0.02	2.804	0.775239999217	0.77524
0.18	2.804	0.799219999194	0.79922
0.68	2.804	0.697890000527	0.69789
0.93	2.804	0.592630001097	0.59263
0.02	2.805	0.775290000078	0.77529
0.18	2.805	0.799270000079	0.79927
0.68	2.805	0.701339999948	0.70134
0.93	2.805	0.587109999637	0.58711
0.02	2.806	0.774979999878	0.77498
0.18	2.806	0.79894999987	0.79895
0.68	2.806	0.706240000294	0.70624
0.93	2.806	0.580319999368	0.58032
0.02	2.807	0.774190000011	0.77419
0.18	2.807	0.798130000019	0.79813
0.68	2.807	0.712439999704	0.71244
0.93	2.807	0.572010000743	0.57201
0.02	2.808	0.773940000132	0.77394
0.18	2.808	0.797880000136	0.79788
0.68	2.808	0.717099999821	0.7171
0.93	2.808	0.564850000028	0.56485
0.02	2.809	0.775170000429	0.77517
0.18	2.809	0.799140000447	0.79914
0.68	2.809	0.720100000158	0.7201
0.93	2.809	0.558049999951	0.55805
0.02	2.81	0.777629999283	0.77763
0.18	2.81	0.801679999255	0.80168
0.68	2.81	0.722890000215	0.72289
0.93	2.81	0.550729999232	0.55073
0.02	2.811	0.777030000642	0.77703
0.18	2.811	0.801070000644	0.80107
0.68	2.811	0.72537999949	0.72538
0.93	2.811	0.542200000872	0.5422
0.02	2.812	0.775759999077	0.77576
0.18	2.812	0.799749999038	0.79975
0.68	2.812	0.725380000145	0.72538
0.93	2.812	0.535359999786	0.53536
0.02	2.813	0.770040000066	0.77004
0.18	2.813	0.793850000072	0.79385
0.68	2.813	0.725380000181	0.72538
0.93	2.813	0.529059999962	0.52906
0.02	2.814	0.764670000753	0.76467
0.18	2.814	0.788320000788	0.78832
0.68	2.814	0.726470000157	0.72647
0.93	2.814	0.523230000108	0.52323
0.02	2.815	0.763829999921	0.76383
0.18	2.815	0.78744999993	0.78745
0.68	2.815	0.728109999385	0.72811
0.93	2.815	0.518019999961	0.51802
0.02	2.816	0.764739999864	0.76474
0.18	2.816	0.788389999862	0.78839
0.68	2.816	0.728300000924	0.7283
0.93	2.816	0.513110000136	0.51311
0.02	2.817	0.765469999926	0.76547
0.18	2.817	0.789149999915	0.78915
0.68	2.817	0.730839999211	0.73084
0.93	2.817	0.508389999973	0.50839
0.02	2.818	0.765379999824	0.76538
0.18	2.818	0.789049999818	0.78905
0.68	2.818	0.73084000034	0.73084
0.93	2.818	0.503099999394	0.5031
0.02	2.819	0.764500000093	0.7645
0.18	2.819	0.788140000099	0.78814
0.68	2.819	0.730779999889	0.73078
0.93	2.819	0.496540000527	0.49654
0.02	2.82	0.764500000186	0.7645
0.18	2.82	0.788140000197	0.78814
0.68	2.82	0.729850000054	0.72985
0.93	2.82	0.490799999912	0.4908
0.02	2.821	0.766209999909	0.76621
0.18	2.821	0.789899999913	0.7899
0.68	2.821	0.728229999988	0.72823
0.93	2.821	0.485489999772	0.48549
0.02	2.822	0.768770000429	0.76877
0.18	2.822	0.792540000441	0.79254
0.68	2.822	0.725509999352	0.72551
0.93	2.822	0.48067000061	0.48067
0.02	2.823	0.772229999277	0.77223
0.18	2.823	0.796109999249	0.79611
0.68	2.823	0.721290001074	0.72129
0.93	2.823	0.477529999645	0.47753
0.02	2.824	0.772590000247	0.77259
0.18	2.824	0.796490000247	0.79649
0.68	2.824	0.721289999564	0.72129
0.93	2.824	0.474459999855	0.47446
0.02	2.825	0.77258999979	0.77259
0.18	2.825	0.796489999787	0.79649
0.68	2.825	0.721290000001	0.72129
0.93	2.825	0.471550000176	0.47155
0.02	2.826	0.772590000323	0.77259
0.18	2.826	0.796490000342	0.79649
0.68	2.826	0.721290000184	0.72129
0.93	2.826	0.469590000506	0.46959
0.02	2.827	0.774950000529	0.77495
0.18	2.827	0.798920000546	0.79892
0.68	2.827	0.721289999918	0.72129
0.93	2.827	0.468599999158	0.4686
0.02	2.828	0.779059999022	0.77906
0.18	2.828	0.803149998989	0.80315
0.68	2.828	0.719520000043	0.71952
0.93	2.828	0.466240000283	0.46624
0.02	2.829	0.779340000342	0.77934
0.18	2.829	0.803450000345	0.80345
0.68	2.829	0.71483999931	0.71484
0.93	2.829	0.464090000136	0.46409
0.02	2.83	0.779340000031	0.77934
0.18	2.83	0.803450000035	0.80345
0.68	2.83	0.705410000535	0.70541
0.93	2.83	0.462379999897	0.46238
