Ro	Time	T_SvFs	T
0.02	2.8	3.62848999918	3.62849
0.19	2.8	3.43449999825	3.4345
0.28	2.8	3.06689000027	3.06689
0.36	2.8	2.74679999943	2.7468
0.43	2.8	2.38334000212	2.38334
0.58	2.8	1.81431999709	1.81432
0.64	2.8	1.44050000254	1.4405
0.7	2.8	1.22812999836	1.22813
1.0	2.8	9.37072641705e-12	0.0
0.02	2.801	3.63922999958	3.63923
0.19	2.801	3.44615000295	3.44615
0.28	2.801	3.08127999862	3.08128
0.36	2.801	2.76239000151	2.76239
0.43	2.801	2.39922999939	2.39923
0.58	2.801	1.80984999868	1.80985
0.64	2.801	1.43869000301	1.43869
0.7	2.801	1.22380999902	1.22381
1.0	2.801	1.14708242904e-12	0.0
0.02	2.802	3.65274000321	3.65274
0.19	2.802	3.47202999815	3.47203
0.28	2.802	3.08803000399	3.08803
0.36	2.802	2.78694999442	2.78695
0.43	2.802	2.40652999956	2.40653
0.58	2.802	1.81117999802	1.81118
0.64	2.802	1.43978000294	1.43978
0.7	2.802	1.22198000001	1.22198
1.0	2.802	-4.20596890649e-12	0.0
0.02	2.803	3.6848099988	3.68481
0.19	2.803	3.49787000004	3.49787
0.28	2.803	3.10760000123	3.1076
0.36	2.803	2.79434999807	2.79435
0.43	2.803	2.40689000371	2.40689
0.58	2.803	1.81254999765	1.81255
0.64	2.803	1.44551999976	1.44552
0.7	2.803	1.22446999913	1.22447
1.0	2.803	-1.23954180253e-11	0.0
0.02	2.804	3.7138400009	3.71384
0.19	2.804	3.52892999851	3.52893
0.28	2.804	3.12827000072	3.12827
0.36	2.804	2.80328999973	2.80329
0.43	2.804	2.4137000016	2.4137
0.58	2.804	1.81254999871	1.81255
0.64	2.804	1.44185000436	1.44185
0.7	2.804	1.22760999868	1.22761
1.0	2.804	-1.44395606583e-11	0.0
0.02	2.805	3.74718999884	3.74719
0.19	2.805	3.55953999815	3.55954
0.28	2.805	3.14911000392	3.14911
0.36	2.805	2.82040999861	2.82041
0.43	2.805	2.42384000009	2.42384
0.58	2.805	1.8161999981	1.8162
0.64	2.805	1.44816000156	1.44816
0.7	2.805	1.23012000001	1.23012
1.0	2.805	-9.61719592851e-12	0.0
0.02	2.806	3.77411000002	3.77411
0.19	2.806	3.58749999824	3.5875
0.28	2.806	3.18167000238	3.18167
